RA,DEC
320.537,0.556936
68.6677,-40.9043
339.374,-1.13552
72.4778,-48.6099
86.6054,-55.5272
77.9264,-58.3833
60.2675,-44.1692
77.5075,-40.1382
35.0101,-49.9991
74.3958,-44.8869
12.2919,-53.0304
333.579,-52.4521
89.0264,-50.6748
40.2817,-50.9186
351.310,0.895697
90.2665,-52.6558
11.4074,-43.8942
5.98038,-46.2342
